,,,,,,,,,,,,,,,,,,,,,,,,,
Step 0: Read input and output,,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,,,,,,,,,,,,,,,,1,,,,,,
1,0,1,1,,,,,,,,,,,,,,,,1,,,,,,
0,1,0,1,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Step 1: Initialize weights and biases with random values (There are methods to initialize weights and biases but for now initialize with random values),,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,,,,,,,0.3,0.69,,1,,,,,,
1,0,1,1,0.1,0.73,0.68,,,,,,,,,,0.25,,,1,,,,,,
0,1,0,1,0.47,0.18,0.47,,,,,,,,,,0.23,,,0,,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 2: Calculate hidden layer input:
hidden_layer_input= matrix_dot_product(X,wh) + bh",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,,,,0.3,0.69,,1,,,,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,,,,0.25,,,1,,,,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,,,,0.23,,,0,,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 3: Perform non-linear transformation on hidden linear input
hiddenlayer_activations = sigmoid(hidden_layer_input)",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,,1,,,,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,,1,,,,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,,0,,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 4: Perform linear and non-linear transformation of hidden layer activation at output layer

output_layer_input = matrix_dot_product (hiddenlayer_activations * wout ) + bout
output = sigmoid(output_layer_input)",,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,wh,,,bh,,,hidden_layer_input,,,hidden_layer_activation,,,wout,bout,output,Y,E,,,,,
1,0,1,0,0.42,0.88,0.55,0.46,0.72,0.08,1.48,1.78,1.1,0.81,0.86,0.75,0.3,0.69,0.79,1,,,,,,
1,0,1,1,0.1,0.73,0.68,,,,2.4,1.89,1.62,0.92,0.87,0.83,0.25,,0.80,1,,,,,,
0,1,0,1,0.6,0.18,0.47,,,,1.48,1.56,1.28,0.81,0.83,0.78,0.23,,0.79,0,,,,,,
,,,,0.92,0.11,0.52,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Step 5: Calculate gradient of Error(E) at output layer
E = y-output",,,,,,,,,,,,,,,,,,,,,,,,,
